Cancer,N_MLP,N_DAE,MLP_MSE,DAE_MSE,Diff_MSE,MLP_Pearson,DAE_Pearson,Diff_Pearson
ACC,28,28,1.1842681233302927,0.7303528292742307,0.453915294056062,0.9366226384949721,0.9614688479886728,0.024846209493700755
UCEC,246,246,1.0235842276160858,0.7655312927469584,0.2580529348691274,0.9182433174605746,0.9382371804086636,0.019993862948088914
LUAD,1374,1374,1.0719182422958715,0.8331304986120213,0.23878774368385025,0.9260478909530577,0.9431660760149717,0.017118185061913982
THCA,366,366,1.0216579283203706,0.7836082125442055,0.23804971577616507,0.9417396548504177,0.9554576698314239,0.013718014981006221
COREAD,1218,1218,1.2101633426219904,0.984818739349864,0.22534460327212646,0.9194099247200324,0.9345452204929813,0.01513529577294892
LUSC,410,410,1.048525649326918,0.8499419735597554,0.19858367576716252,0.9317786597578487,0.9457562866162933,0.013977626858444614
KIRC,463,463,0.9174589780409649,0.7460839121085078,0.1713750659324571,0.9347819098106288,0.9475472869589574,0.012765377148328594
DLBC,532,532,0.7820544114765695,0.6120560616606927,0.1699983498158768,0.9435200059829683,0.9561474112905333,0.01262740530756501
ALL,639,639,0.8471405457079642,0.6850998365275854,0.16204070918037872,0.9483241511745447,0.9581164368281504,0.009792285653605681
BRCA,1353,1353,1.205196046653405,1.0438175068666413,0.16137853978676375,0.9112015170454684,0.9238790051187756,0.012677488073307264
STAD,585,585,1.004035458525423,0.8445718921285745,0.15946356639684844,0.9354382386049561,0.946057680675874,0.010619442070917917
NB,594,594,0.9520531106527788,0.7942742374148485,0.15777887323793027,0.9415548364992883,0.9508526942399471,0.009297857740658833
MM,448,448,1.0005970080138,0.843053427224369,0.15754358078943098,0.9378401514548642,0.9481062709897761,0.010266119534911855
PRAD,164,164,0.885689055454148,0.7327527820807097,0.1529362733734383,0.9395811840759876,0.9489122234168563,0.009331039340868763
LIHC,421,421,0.9988398032259848,0.860251208960445,0.1385885942655397,0.9151013928251376,0.9272488275627231,0.012147434737585505
OV,661,661,1.0980285703170867,0.9634417858034585,0.13458678451362815,0.9242693807925502,0.933928523573926,0.009659142781375807
BLCA,479,479,0.9199424677221862,0.7911593774684922,0.12878309025369405,0.936719515333149,0.9455319870623188,0.008812471729169769
PAAD,764,764,0.9011354583456979,0.7919880698019668,0.10914738854373107,0.9378284642445637,0.945791874489724,0.00796341024516034
MESO,475,475,0.8387063022955159,0.737459422813518,0.10124687948199795,0.938349844603372,0.9456597789147865,0.007309934311414468
MB,110,110,0.5479508256141308,0.4519061713705903,0.09604465424354047,0.9706432026306844,0.9752431959757284,0.004599993345044018
GBM,672,672,0.8107151556062766,0.7254919302931464,0.0852232253131302,0.9420098077489928,0.9480961864690507,0.006086378720057906
LAML,479,479,1.0333745334262783,0.9527182849623199,0.08065624846395836,0.9280113727525524,0.9327472589639741,0.004735886211421736
ESCA,811,811,0.9077330616955313,0.828149530569801,0.07958353112573024,0.9371853173524086,0.9434288408588855,0.0062435235064768335
UNCLASSIFIED,3911,3911,0.9167287179831249,0.842474476329681,0.07425424165344396,0.9433749858210476,0.9481858270055392,0.004810841184491599
SKCM,856,856,0.887214984603837,0.8314896077188038,0.055725376885033207,0.9417763246583791,0.9453604525999348,0.003584127941555715
CLL,55,55,0.4537299581110533,0.40085682647916193,0.05287313163189139,0.9636202284189616,0.9662526689616162,0.002632440542654657
SCLC,1043,1043,0.883750251429237,0.8395952822510284,0.0441549691782086,0.9406313285106318,0.9438791796469962,0.003247851136364388
CESC,356,356,0.7113232272335823,0.6735860286586691,0.0377371985749132,0.9459842924754913,0.9489015066083925,0.002917214132901136
LGG,222,222,0.7512077131364195,0.7186509888943987,0.03255672424202083,0.952916248276759,0.9551604865582012,0.002244238281442157
HNSC,707,707,0.8532801539164657,0.8365842330294208,0.016695920887044968,0.940379463279226,0.9419034346668503,0.0015239713876243899
LCML,249,249,0.598603099550645,0.7034544215614773,-0.10485132201083236,0.9629568900137395,0.9563388603201208,-0.006618029693618688
