Cancer,N_MLP,N_DAE,MLP_MSE,DAE_MSE,Diff_MSE,MLP_Pearson,DAE_Pearson,Diff_Pearson
CESC,109,109,1.0918090431235237,0.6161885251388922,0.47562051798463145,0.9210346935716027,0.9549158415216126,0.03388114795000985
LIHC,125,125,1.3300567679781852,1.0114947864555364,0.3185619815226488,0.8984884547352148,0.9221830019599618,0.023694547224747065
MM,112,112,1.1269432538442659,0.832398801016348,0.29454445282791786,0.8837846521404459,0.9124412309821228,0.02865657884167694
KIRC,111,111,0.9002320621314128,0.6397626473628785,0.26046941476853436,0.9191388879760362,0.9433639620500052,0.02422507407396901
ALL,160,160,0.800536850906872,0.5661972380946889,0.23433961281218307,0.9494863423645604,0.9643613945214597,0.014875052156899327
UCEC,57,57,0.7011827629415465,0.48157036037217693,0.21961240256936954,0.9609957261563014,0.9738055787437581,0.012809852587456705
LUSC,105,105,0.8852621468082811,0.6881876438533036,0.19707450295497753,0.922041200668604,0.941286004931473,0.01924480426286901
GBM,145,145,0.7557146750310818,0.5635344690956356,0.19218020593544616,0.9574931435570364,0.969418271312548,0.011925127755511578
PAAD,187,187,0.7989985367466578,0.6082382108607888,0.190760325885869,0.9530859783749156,0.9645367891152448,0.011450810740329165
OV,152,152,0.8957983162125757,0.7069789758770938,0.18881934033548187,0.9431664467818461,0.9547356543025012,0.011569207520655045
BLCA,125,125,0.7504633208052924,0.5773293740671932,0.17313394673809923,0.9528418401844698,0.9647485262032726,0.011906686018802737
BRCA,308,308,1.0747294926355602,0.9308641847950755,0.14386530784048468,0.9313604049256083,0.9409753777365361,0.009614972810927713
LCML,56,56,0.9947148418639438,0.8553693311324707,0.13934551073147305,0.9380930228745336,0.9469285431218369,0.008835520247303386
LGG,58,58,0.578595935555498,0.43978092724846557,0.13881500830703247,0.9616216229174377,0.970402809131791,0.00878118621435331
STAD,144,144,0.9261197665590232,0.8006198232987867,0.1254999432602365,0.947926757484981,0.9558502747576791,0.007923517272698133
SKCM,208,208,1.0482875775739662,0.9250256087676955,0.12326196880627072,0.9225064067741234,0.9321276456188032,0.009621238844679803
UNCLASSIFIED,960,960,0.8483654661783521,0.743652293289292,0.10471317288906001,0.9452719865599961,0.9523550596970985,0.007083073137102436
DLBC,129,129,0.6545678756112144,0.5504164388122651,0.10415143679894934,0.9579295408498475,0.9646035444486296,0.006674003598782119
COREAD,316,316,0.975149700804446,0.9019335506312495,0.07321615017319649,0.9432401258440034,0.9483157872639603,0.005075661419956856
NB,137,137,0.9036283183360716,0.8318740461421831,0.07175427219388852,0.9364365530136196,0.941838146723745,0.005401593710125385
MB,30,30,0.6304105691282081,0.5920827888705368,0.03832778025767136,0.9640011542629291,0.9678759601097418,0.0038748058468126567
MESO,126,126,0.9302642442135827,0.8967046298125334,0.033559614401049265,0.9277589347355384,0.9311500811002372,0.0033911463646988382
LAML,117,117,0.8836303376936641,0.8644137575728177,0.01921658012084637,0.9376767622599823,0.9414301387436775,0.0037533764836952255
PRAD,48,48,0.7375534149581537,0.7216406445511382,0.015912770407015553,0.9443283948738983,0.9447555390074733,0.00042714413357503034
ESCA,196,196,0.9340575353528565,0.9181944861190828,0.015863049233773685,0.9184839913904387,0.9212701671296104,0.0027861757391717257
CLL,13,13,0.5490867091287048,0.5621918683935311,-0.01310515926482625,0.9002896490439156,0.8860234821495312,-0.014266166894384424
SCLC,271,271,0.7307541386131472,0.7451858130880146,-0.014431674474867373,0.9443754751287964,0.9447973328740414,0.0004218577452450578
LUAD,370,370,0.9263139678552704,0.9449235613618427,-0.01860959350657232,0.9366317237398494,0.9338654345911488,-0.0027662891487005847
THCA,88,88,0.8522155844557111,0.9054311060223378,-0.05321552156662668,0.9513960083945786,0.9475337187319054,-0.003862289662673213
HNSC,200,200,0.7434679907913221,0.858708012510394,-0.11524002171907188,0.9472135698635096,0.9377884021360554,-0.009425167727454165
ACC,7,7,0.950661721380154,1.2330647267987762,-0.2824030054186222,0.9358742342915437,0.8482530419572274,-0.08762119233431631
