Immune cells	Malignant cells	Others
A1BG	0.01758	0.02971	0.05289
A1BG-AS1	0.03501	0.04082	0.0445
A1CF	0.00047	0.00166	0.00061
A2M	1.99209	0.25412	0.01655
A2M-AS1	0.02744	0.01176	0.004
A2ML1	0.00281	0.00991	0.00273
A2MP1	0.00263	0.00188	0.03382
A4GALT	0.00133	0.00396	0.00027
A4GNT	0.00576	0.00052	0
AAAS	0.14096	0.39463	0.31963
AACS	0.04403	0.15044	0.05253
AACSP1	0.0011	0.00223	0.00038
AADACL2	0	0.00037	0
AADACL3	3e-04	0.00025	0
AADACL4	5e-05	0.00026	0
AADAT	0.00111	0.12572	0.06209
PRXL2C	0.07901	0.0345	0.03824
AAGAB	0.14309	0.24912	0.15024
AAK1	0.09275	0.09725	0.09158
AAMDC	0.1127	0.22484	0.44897
AAMP	0.43329	0.8008	0.67404
AANAT	0.02068	0.00293	0
AAR2	0.17109	0.33372	0.28105
AARD	0.02244	0.03151	0.01708
AARS	0.17742	0.45477	0.6211
AARS2	0.07029	0.14054	0.06704
AARSD1	0.11444	0.32842	0.20973
AASDH	0.06322	0.15464	0.08364
AASDHPPT	0.1553	0.63813	0.51764
AASS	0.05446	0.48951	0.4606
AATK	0.00707	0.01331	0.67368
PVALEF	5e-05	0.00021	0.00012
ABAT	0.05666	0.48764	0.11819
ABCA1	0.49292	0.2937	0.236
ABCA10	0.00143	0.0089	0.00801
ABCA11P	0.03684	0.12553	0.06428
ABCA12	0.00044	0.00561	2e-05
ABCA13	0.00153	0.01308	0.00382
ABCA17P	0.00141	0.00216	2e-05
ABCA2	0.0267	0.08155	1.84854
ABCA3	0.00696	0.11658	0.11522
ABCA4	3e-05	0.00277	0
ABCA5	0.02372	0.06323	0.09738
ABCA6	0.00502	0.01062	0.08381
ABCA7	0.04251	0.0113	0.01178
ABCA8	0.00304	0.07184	0.84935
ABCA9	0.02799	0.05112	0.05009
ABCB1	0.01597	0.01017	0.00052
ABCB10	0.03425	0.04689	0.03633
ABCB11	0	0.00037	0
ABCB4	0.03675	0.02126	0.00028
ABCB5	0.01827	0.02531	0.01813
ABCB6	0.01648	0.23418	0.09645
ABCB7	0.16977	0.23198	0.1473
ABCB8	0.05426	0.13212	0.11425
ABCB9	0.00528	0.04766	0.06362
ABCC1	0.04534	0.04167	0.02118
ABCC10	0.0783	0.09481	0.0688
ABCC11	0.00069	0.00116	0
ABCC12	5e-05	0.00168	0
ABCC13	0.00279	0.0041	0.0028
ABCC2	0.00192	0.00363	7e-05
ABCC3	0.134	0.05749	0.00092
ABCC4	0.20925	0.05145	0.00928
ABCC5	0.21178	0.33711	0.28462
ABCC5-AS1	0.00099	0.00301	0.00175
ABCC6	0.03216	0.01516	0
ABCC6P1	0.00026	0.00673	0
ABCC6P2	0.00032	0.02448	0
ABCC8	0.00031	0.03386	0.00446
ABCC9	0.39442	0.55394	0.44144
ABCD1	0.06764	0.02246	0.01863
ABCD2	0.01731	0.04611	0.00828
ABCD3	0.12341	0.47932	0.40876
