DRUG_ID,ln_IC50_pred,DRUG_NAME,Targets,Target_pathway
104,-4.265292167663574,Bortezomib,Proteasome,Protein stability and degradation
1191,-4.265292167663574,Bortezomib,Proteasome,Protein stability and degradation
1911,-3.4069082736968994,Dactinomycin,RNA polymerase,Other
1016,-2.941800594329834,Temsirolimus,MTOR,PI3K/MTOR signaling
1248,-2.775352716445923,Daporinad,NAMPT,Metabolism
1941,-2.472597599029541,Sepantronium bromide,BIRC5,Apoptosis regulation
268,-2.472597599029541,Sepantronium bromide,BIRC5,Apoptosis regulation
1007,-2.2013514041900635,Docetaxel,Microtubule stabiliser,Mitosis
153,-1.439885139465332,Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other
1180,-1.3861610889434814,Dinaciclib,"CDK1, CDK2, CDK5, CDK9",Cell cycle
1024,-1.3652100563049316,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases"
1034,-1.3164618015289307,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling
1862,-1.308997631072998,MG-132,"Proteasome, CAPN1",Protein stability and degradation
9,-1.308997631072998,MG-132,"Proteasome, CAPN1",Protein stability and degradation
1004,-1.2205257415771484,Vinblastine,Microtubule destabiliser,Mitosis
3,-0.9144187569618225,Rapamycin,MTORC1,PI3K/MTOR signaling
1084,-0.9144187569618225,Rapamycin,MTORC1,PI3K/MTOR signaling
1003,-0.8459400534629822,Camptothecin,TOP1,DNA replication
201,-0.5775882601737976,Epothilone B,Microtubule stabiliser,Mitosis
133,-0.2916618585586548,Doxorubicin,Anthracycline,DNA replication
1511,-0.27873694896698,Epirubicin,Anthracycline,DNA replication
140,-0.23713523149490356,Vinorelbine,Microtubule destabiliser,Mitosis
2048,-0.23713523149490356,Vinorelbine,Microtubule destabiliser,Mitosis
1057,-0.22093456983566284,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling
197,-0.1773000955581665,Bryostatin 1,PKC,Other
1080,-0.10443121194839478,Paclitaxel,Microtubule stabiliser,Mitosis
11,-0.10443121194839478,Paclitaxel,Microtubule stabiliser,Mitosis
1039,-0.04395788908004761,SL0101,"RSK, AURKB, PIM1, PIM3","Other, kinases"
1849,0.1391890048980713,Sabutoclax,"BCL2,  BCL-XL,  BFL1, MCL1",Apoptosis regulation
1190,0.41089731454849243,Gemcitabine,Pyrimidine antimetabolite,DNA replication
135,0.41089731454849243,Gemcitabine,Pyrimidine antimetabolite,DNA replication
1559,0.479162335395813,Luminespib,HSP90,Protein stability and degradation
194,0.479162335395813,Luminespib,HSP90,Protein stability and degradation
60,0.586277186870575,BI-2536,"PLK1, PLK2, PLK3",Cell cycle
1086,0.586277186870575,BI-2536,"PLK1, PLK2, PLK3",Cell cycle
1059,0.7436481714248657,AZD8055,"MTORC1, MTORC2",PI3K/MTOR signaling
180,0.8543553352355957,Thapsigargin,SERCA,Other
1170,0.867444634437561,CCT-018159,HSP90,Protein stability and degradation
1022,1.2213242053985596,AZD7762,"CHEK1, CHEK2",Cell cycle
190,1.282839059829712,Bleomycin,dsDNA break induction,DNA replication
1926,1.4683349132537842,GNE-317,PI3Kalpha,PI3K/MTOR signaling
1930,1.495495080947876,Telomerase Inhibitor IX,Telomerase,Genome integrity
1060,1.6504120826721191,PD0325901,"MEK1, MEK2",ERK MAPK signaling
1372,1.7397773265838623,Trametinib,"MEK1, MEK2",ERK MAPK signaling
1018,1.872950553894043,Veliparib,"PARP1, PARP2",Genome integrity
1031,1.8787388801574707,Elesclomol,HSP90,Protein stability and degradation
304,1.9012131690979004,SB52334,ALK5,"Other, kinases"
1149,1.9898560047149658,TW 37,"BCL2, BCL-XL, MCL1",Apoptosis regulation
1011,2.001396894454956,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation
1001,2.0187835693359375,AICA Ribonucleotide,AMPK agonist,Metabolism
2040,2.081840991973877,Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling
308,2.081840991973877,Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling
1919,2.0900888442993164,Osimertinib,EGFR,EGFR signaling
1873,2.163520336151123,Buparlisib,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling
1012,2.2218587398529053,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation
1529,2.2339038848876953,Pevonedistat,NAE,Other
1909,2.319058895111084,Venetoclax,BCL2,Apoptosis regulation
182,2.3721113204956055,Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation
1068,2.3721113204956055,Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation
1058,2.396979570388794,Pictilisib,PI3K (class 1),PI3K/MTOR signaling
1527,2.396979570388794,Pictilisib,PI3K (class 1),PI3K/MTOR signaling
249,2.425428628921509,Cabozantinib,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",RTK signaling
1179,2.456860065460205,MK-1775,"WEE1, PLK1",Cell cycle
1922,2.4585514068603516,Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",RTK signaling
1912,2.544081211090088,Afuresertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
62,2.5669796466827393,BMS-536924,"IGF1R, IR",IGF1R signaling
1091,2.5669796466827393,BMS-536924,"IGF1R, IR",IGF1R signaling
63,2.6317391395568848,BMS-509744,ITK,"Other, kinases"
1936,2.7055113315582275,Savolitinib,MET,RTK signaling
302,2.7203850746154785,PI-103,"PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2","Other, kinases"
1378,2.7356317043304443,Bleomycin (50 uM),dsDNA break induction,DNA replication
1168,2.746731996536255,Erlotinib,EGFR,EGFR signaling
1,2.746731996536255,Erlotinib,EGFR,EGFR signaling
177,2.7771217823028564,GSK650394,"SGK2, SGK3","Other, kinases"
30,2.7813141345977783,Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling
1085,2.7813141345977783,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases"
6,2.802931070327759,PHA-665752,MET,RTK signaling
1916,2.8108601570129395,AZD5363,"AKT1, AKT2, AKT3, ROCK2","Other, kinases"
1194,2.8213772773742676,SB505124,"TGFBR1, ACVR1B, ACVR1C",RTK signaling
1910,2.828472137451172,ABT737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation
310,2.837437152862549,YM201636,PIKFYVE,PI3K/MTOR signaling
1019,2.837475538253784,Bosutinib,"SRC, ABL, TEC","Other, kinases"
204,2.8456602096557617,Tipifarnib,Farnesyl-transferase (FNTA),Other
274,2.8512542247772217,Belinostat,HDAC1,Chromatin histone acetylation
224,2.864179849624634,AS605240,PI3Kgamma,PI3K/MTOR signaling
163,2.905790328979492,JQ1,"BRD2, BRD3, BRD4, BRDT",Chromatin other
1218,2.905790328979492,JQ1,"BRD2, BRD3, BRD4, BRDT",Chromatin other
2172,2.905790328979492,JQ1,"BRD2, BRD3, BRD4, BRDT",Chromatin other
193,2.906254768371582,GW-2580,CSF1R,RTK signaling
1250,2.9293711185455322,AZ960,"JAK2, JAK3","Other, kinases"
1164,2.9322662353515625,XMD8-92,MAPK7,ERK MAPK signaling
1915,2.9339354038238525,AZD3759,EGFR,EGFR signaling
1786,2.9451422691345215,AZD4547,"FGFR1, FGFR2, FGFR3",RTK signaling
300,2.9646756649017334,CX-5461,RNA Polymerase 1,Other
2109,2.9666340351104736,AZ6102,"TNKS1, TNKS2",WNT signaling
64,2.9788827896118164,CMK,RSK2,"Other, kinases"
223,2.9880495071411133,ZSTK474,PI3K (class 1),PI3K/MTOR signaling
86,3.010747194290161,A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
1918,3.011448621749878,AZD8186,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling
134,3.0284855365753174,Etoposide,TOP2,DNA replication
88,3.0320537090301514,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation
1593,3.0320537090301514,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation
208,3.0320568084716797,Ispinesib Mesylate,KSP,Mitosis
1553,3.054471492767334,Uprosertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
2106,3.054471492767334,Uprosertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
266,3.0638909339904785,Zibotentan,Endothelin-1 receptor (EDNRA),Other
1617,3.064168691635132,AZD5582,"XIAP, cIAP",Apoptosis regulation
38,3.0817275047302246,Saracatinib,"ABL, SRC","Other, kinases"
54,3.0832886695861816,CGP-082996,CDK4,Cell cycle
41,3.0868818759918213,S-Trityl-L-cysteine,KIF11,Mitosis
1561,3.100580930709839,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling
1576,3.1071221828460693,IWP-2,PORCN,WNT signaling
151,3.1095433235168457,QS11,ARFGAP1,Other
1200,3.1113345623016357,Fulvestrant,ESR,Hormone-related
1917,3.124523162841797,AZD6738,ATR,Genome integrity
1061,3.1314737796783447,SB590885,BRAF,ERK MAPK signaling
56,3.1514339447021484,WH-4-023,"SRC, LCK","Other, kinases"
1026,3.156453847885132,Tanespimycin,HSP90,Protein stability and degradation
106,3.157904624938965,XMD8-85,"ERK5, BET",Other
1627,3.1606056690216064,GSK343,EZH2,Chromatin histone methylation
295,3.166835069656372,NVP-BHG712,EPHB4,RTK signaling
1028,3.1687285900115967,VX-702,p38,JNK and p38 signaling
1631,3.1707711219787598,PRT062607,SYK,"Other, kinases"
1033,3.1717560291290283,Vismodegib,SMO,Other
1241,3.17641019821167,CHIR-99021,"GSK3A, GSK3B",WNT signaling
154,3.17641019821167,CHIR-99021,"GSK3A, GSK3B",WNT signaling
1377,3.1805579662323,Afatinib,"ERBB2, EGFR",EGFR signaling
1032,3.1805579662323,Afatinib,"ERBB2, EGFR",EGFR signaling
55,3.1811444759368896,A-770041,"LCK, FYN","Other, kinases"
173,3.184757947921753,FH535,"PPARgamma, PPARdelta",Other
293,3.1881394386291504,Amuvatinib,"KIT, PDGFRA, FLT3",RTK signaling
1006,3.1949570178985596,Cytarabine,Antimetabolite,Other
94,3.1998069286346436,TGX221,PI3Kbeta,PI3K/MTOR signaling
245,3.2007157802581787,UNC0638,G9a and GLP methyltransferases,Chromatin histone methylation
1236,3.2007157802581787,UNC0638,G9a and GLP methyltransferases,Chromatin histone methylation
32,3.2196173667907715,Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis
1096,3.2196173667907715,Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis
282,3.2250239849090576,Pelitinib,EGFR,EGFR signaling
1053,3.2339212894439697,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling
1021,3.2491211891174316,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling
59,3.255380153656006,WZ-1-84,BMX,"Other, kinases"
165,3.2658779621124268,DMOG,HIF-PH,Metabolism
2046,3.2717583179473877,MK-8776,"CHEK1, CHEK2, CDK2",Cell cycle
17,3.278298854827881,Cyclopamine,SMO,Other
110,3.2854316234588623,Seliciclib,"CDK2, CDK7, CDK9",Cell cycle
207,3.2860639095306396,AS601245,"JNK1, JNK2, JNK2",JNK and p38 signaling
53,3.292004108428955,CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle
326,3.2949318885803223,GSK690693,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
229,3.296182870864868,Enzastaurin,PKCB,"Other, kinases"
287,3.297935724258423,KIN001-244,PDK1 (PDPK1),Metabolism
1498,3.3000757694244385,Selumetinib,"MEK1, MEK2",ERK MAPK signaling
1062,3.3000757694244385,Selumetinib,"MEK1, MEK2",ERK MAPK signaling
309,3.3018407821655273,Y-39983,ROCK,Cytoskeleton
83,3.306281328201294,JW-7-52-1,MTOR,PI3K/MTOR signaling
159,3.3089041709899902,HG6-64-1,BRAF,ERK MAPK signaling
1932,3.3099777698516846,NVP-ADW742,IGF1R,IGF1R signaling
1038,3.3130626678466797,NU7441,DNAPK,Genome integrity
184,3.3238635063171387,BMS-754807,"IGF1R, IR",RTK signaling
1043,3.324354887008667,JNK Inhibitor VIII,JNK,JNK and p38 signaling
167,3.3316915035247803,OSU-03012,PDK1 (PDPK1),Metabolism
271,3.3349459171295166,VNLG/124,"HDAC,RAR",Chromatin histone acetylation
175,3.3440794944763184,PAC-1,"Procaspase-3, Procaspase-7",Apoptosis regulation
312,3.349181652069092,Tivozanib,"VEGFR1, VEGFR2, VEGFR3",RTK signaling
29,3.3499648571014404,AZ628,BRAF,ERK MAPK signaling
