DRUG_ID,ln_IC50_pred,DRUG_NAME,Targets,Target_pathway,en_entrenamiento
104,-4.265292167663574,Bortezomib,Proteasome,Protein stability and degradation,False
1191,-4.265292167663574,Bortezomib,Proteasome,Protein stability and degradation,True
1911,-3.4069082736968994,Dactinomycin,RNA polymerase,Other,True
1016,-2.941800594329834,Temsirolimus,MTOR,PI3K/MTOR signaling,False
1248,-2.775352716445923,Daporinad,NAMPT,Metabolism,True
1941,-2.472597599029541,Sepantronium bromide,BIRC5,Apoptosis regulation,True
268,-2.472597599029541,Sepantronium bromide,BIRC5,Apoptosis regulation,False
1007,-2.2013514041900635,Docetaxel,Microtubule stabiliser,Mitosis,True
153,-1.439885139465332,Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other,False
1180,-1.3861610889434814,Dinaciclib,"CDK1, CDK2, CDK5, CDK9",Cell cycle,True
1024,-1.3652100563049316,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",False
1034,-1.3164618015289309,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling,True
1862,-1.308997631072998,MG-132,"Proteasome, CAPN1",Protein stability and degradation,True
9,-1.308997631072998,MG-132,"Proteasome, CAPN1",Protein stability and degradation,False
1004,-1.2205257415771484,Vinblastine,Microtubule destabiliser,Mitosis,True
3,-0.9144187569618224,Rapamycin,MTORC1,PI3K/MTOR signaling,False
1084,-0.9144187569618224,Rapamycin,MTORC1,PI3K/MTOR signaling,True
1003,-0.8459400534629822,Camptothecin,TOP1,DNA replication,True
201,-0.5775882601737976,Epothilone B,Microtubule stabiliser,Mitosis,False
133,-0.2916618585586548,Doxorubicin,Anthracycline,DNA replication,False
1511,-0.27873694896698,Epirubicin,Anthracycline,DNA replication,True
140,-0.2371352314949035,Vinorelbine,Microtubule destabiliser,Mitosis,False
2048,-0.2371352314949035,Vinorelbine,Microtubule destabiliser,Mitosis,True
1057,-0.2209345698356628,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,True
197,-0.1773000955581665,Bryostatin 1,PKC,Other,False
1080,-0.1044312119483947,Paclitaxel,Microtubule stabiliser,Mitosis,True
11,-0.1044312119483947,Paclitaxel,Microtubule stabiliser,Mitosis,False
1039,-0.0439578890800476,SL0101,"RSK, AURKB, PIM1, PIM3","Other, kinases",False
1849,0.1391890048980713,Sabutoclax,"BCL2,  BCL-XL,  BFL1, MCL1",Apoptosis regulation,True
1190,0.4108973145484924,Gemcitabine,Pyrimidine antimetabolite,DNA replication,True
135,0.4108973145484924,Gemcitabine,Pyrimidine antimetabolite,DNA replication,False
1559,0.479162335395813,Luminespib,HSP90,Protein stability and degradation,True
194,0.479162335395813,Luminespib,HSP90,Protein stability and degradation,False
60,0.586277186870575,BI-2536,"PLK1, PLK2, PLK3",Cell cycle,False
1086,0.586277186870575,BI-2536,"PLK1, PLK2, PLK3",Cell cycle,True
1059,0.7436481714248657,AZD8055,"MTORC1, MTORC2",PI3K/MTOR signaling,True
180,0.8543553352355957,Thapsigargin,SERCA,Other,False
1170,0.867444634437561,CCT-018159,HSP90,Protein stability and degradation,False
1022,1.2213242053985596,AZD7762,"CHEK1, CHEK2",Cell cycle,True
190,1.282839059829712,Bleomycin,dsDNA break induction,DNA replication,False
1926,1.4683349132537842,GNE-317,PI3Kalpha,PI3K/MTOR signaling,True
1930,1.495495080947876,Telomerase Inhibitor IX,Telomerase,Genome integrity,True
1060,1.6504120826721191,PD0325901,"MEK1, MEK2",ERK MAPK signaling,True
1372,1.7397773265838623,Trametinib,"MEK1, MEK2",ERK MAPK signaling,True
1018,1.872950553894043,Veliparib,"PARP1, PARP2",Genome integrity,False
1031,1.8787388801574707,Elesclomol,HSP90,Protein stability and degradation,False
304,1.9012131690979004,SB52334,ALK5,"Other, kinases",False
1149,1.9898560047149656,TW 37,"BCL2, BCL-XL, MCL1",Apoptosis regulation,False
1011,2.001396894454956,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,True
1001,2.018783569335937,AICA Ribonucleotide,AMPK agonist,Metabolism,False
2040,2.081840991973877,Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,True
308,2.081840991973877,Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,False
1919,2.0900888442993164,Osimertinib,EGFR,EGFR signaling,True
1873,2.163520336151123,Buparlisib,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,True
1012,2.2218587398529053,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,True
1529,2.2339038848876958,Pevonedistat,NAE,Other,True
1909,2.319058895111084,Venetoclax,BCL2,Apoptosis regulation,True
182,2.372111320495605,Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation,False
1068,2.372111320495605,Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation,True
1058,2.396979570388794,Pictilisib,PI3K (class 1),PI3K/MTOR signaling,True
1527,2.396979570388794,Pictilisib,PI3K (class 1),PI3K/MTOR signaling,False
249,2.425428628921509,Cabozantinib,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",RTK signaling,False
1179,2.456860065460205,MK-1775,"WEE1, PLK1",Cell cycle,True
1922,2.458551406860352,Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",RTK signaling,True
1912,2.544081211090088,Afuresertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,True
62,2.5669796466827397,BMS-536924,"IGF1R, IR",IGF1R signaling,False
1091,2.5669796466827397,BMS-536924,"IGF1R, IR",IGF1R signaling,True
63,2.6317391395568848,BMS-509744,ITK,"Other, kinases",False
1936,2.7055113315582275,Savolitinib,MET,RTK signaling,True
302,2.7203850746154785,PI-103,"PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2","Other, kinases",False
1378,2.7356317043304443,Bleomycin (50 uM),dsDNA break induction,DNA replication,False
1168,2.746731996536255,Erlotinib,EGFR,EGFR signaling,True
1,2.746731996536255,Erlotinib,EGFR,EGFR signaling,False
177,2.7771217823028564,GSK650394,"SGK2, SGK3","Other, kinases",False
30,2.7813141345977783,Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling,False
1085,2.7813141345977783,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",True
6,2.802931070327759,PHA-665752,MET,RTK signaling,False
1916,2.8108601570129395,AZD5363,"AKT1, AKT2, AKT3, ROCK2","Other, kinases",True
1194,2.821377277374268,SB505124,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,True
1910,2.828472137451172,ABT737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation,True
310,2.837437152862549,YM201636,PIKFYVE,PI3K/MTOR signaling,False
1019,2.837475538253784,Bosutinib,"SRC, ABL, TEC","Other, kinases",False
204,2.8456602096557617,Tipifarnib,Farnesyl-transferase (FNTA),Other,False
274,2.8512542247772217,Belinostat,HDAC1,Chromatin histone acetylation,False
224,2.864179849624634,AS605240,PI3Kgamma,PI3K/MTOR signaling,False
163,2.905790328979492,JQ1,"BRD2, BRD3, BRD4, BRDT",Chromatin other,False
1218,2.905790328979492,JQ1,"BRD2, BRD3, BRD4, BRDT",Chromatin other,False
2172,2.905790328979492,JQ1,"BRD2, BRD3, BRD4, BRDT",Chromatin other,True
193,2.906254768371582,GW-2580,CSF1R,RTK signaling,False
1250,2.929371118545532,AZ960,"JAK2, JAK3","Other, kinases",True
1164,2.9322662353515625,XMD8-92,MAPK7,ERK MAPK signaling,False
1915,2.9339354038238525,AZD3759,EGFR,EGFR signaling,True
1786,2.945142269134521,AZD4547,"FGFR1, FGFR2, FGFR3",RTK signaling,True
300,2.9646756649017334,CX-5461,RNA Polymerase 1,Other,False
2109,2.9666340351104736,AZ6102,"TNKS1, TNKS2",WNT signaling,True
64,2.9788827896118164,CMK,RSK2,"Other, kinases",False
223,2.9880495071411133,ZSTK474,PI3K (class 1),PI3K/MTOR signaling,False
86,3.010747194290161,A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,False
1918,3.011448621749878,AZD8186,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,True
134,3.0284855365753174,Etoposide,TOP2,DNA replication,False
88,3.032053709030152,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,False
1593,3.032053709030152,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,True
208,3.03205680847168,Ispinesib Mesylate,KSP,Mitosis,False
1553,3.054471492767334,Uprosertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,True
2106,3.054471492767334,Uprosertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,True
266,3.0638909339904785,Zibotentan,Endothelin-1 receptor (EDNRA),Other,False
1617,3.064168691635132,AZD5582,"XIAP, cIAP",Apoptosis regulation,True
38,3.0817275047302246,Saracatinib,"ABL, SRC","Other, kinases",False
54,3.0832886695861816,CGP-082996,CDK4,Cell cycle,False
41,3.0868818759918213,S-Trityl-L-cysteine,KIF11,Mitosis,False
1561,3.100580930709839,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,True
1576,3.1071221828460693,IWP-2,PORCN,WNT signaling,True
151,3.1095433235168457,QS11,ARFGAP1,Other,False
1200,3.111334562301636,Fulvestrant,ESR,Hormone-related,True
1917,3.124523162841797,AZD6738,ATR,Genome integrity,True
1061,3.1314737796783447,SB590885,BRAF,ERK MAPK signaling,False
56,3.1514339447021484,WH-4-023,"SRC, LCK","Other, kinases",False
1026,3.156453847885132,Tanespimycin,HSP90,Protein stability and degradation,False
106,3.157904624938965,XMD8-85,"ERK5, BET",Other,False
1627,3.1606056690216064,GSK343,EZH2,Chromatin histone methylation,True
295,3.166835069656372,NVP-BHG712,EPHB4,RTK signaling,False
1028,3.1687285900115967,VX-702,p38,JNK and p38 signaling,False
1631,3.17077112197876,PRT062607,SYK,"Other, kinases",True
1033,3.1717560291290283,Vismodegib,SMO,Other,False
1241,3.17641019821167,CHIR-99021,"GSK3A, GSK3B",WNT signaling,False
154,3.17641019821167,CHIR-99021,"GSK3A, GSK3B",WNT signaling,False
1377,3.1805579662323,Afatinib,"ERBB2, EGFR",EGFR signaling,False
1032,3.1805579662323,Afatinib,"ERBB2, EGFR",EGFR signaling,True
55,3.1811444759368896,A-770041,"LCK, FYN","Other, kinases",False
173,3.184757947921753,FH535,"PPARgamma, PPARdelta",Other,False
293,3.1881394386291504,Amuvatinib,"KIT, PDGFRA, FLT3",RTK signaling,False
1006,3.19495701789856,Cytarabine,Antimetabolite,Other,True
94,3.199806928634644,TGX221,PI3Kbeta,PI3K/MTOR signaling,False
245,3.2007157802581787,UNC0638,G9a and GLP methyltransferases,Chromatin histone methylation,False
1236,3.2007157802581787,UNC0638,G9a and GLP methyltransferases,Chromatin histone methylation,False
32,3.2196173667907715,Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,False
1096,3.2196173667907715,Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,True
282,3.2250239849090576,Pelitinib,EGFR,EGFR signaling,False
1053,3.2339212894439697,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,True
1021,3.249121189117432,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,True
59,3.255380153656006,WZ-1-84,BMX,"Other, kinases",False
165,3.2658779621124268,DMOG,HIF-PH,Metabolism,False
2046,3.271758317947388,MK-8776,"CHEK1, CHEK2, CDK2",Cell cycle,True
17,3.278298854827881,Cyclopamine,SMO,Other,False
110,3.2854316234588623,Seliciclib,"CDK2, CDK7, CDK9",Cell cycle,False
207,3.28606390953064,AS601245,"JNK1, JNK2, JNK2",JNK and p38 signaling,False
53,3.292004108428955,CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,False
326,3.2949318885803223,GSK690693,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,False
229,3.296182870864868,Enzastaurin,PKCB,"Other, kinases",False
287,3.297935724258423,KIN001-244,PDK1 (PDPK1),Metabolism,False
1498,3.3000757694244385,Selumetinib,"MEK1, MEK2",ERK MAPK signaling,False
1062,3.3000757694244385,Selumetinib,"MEK1, MEK2",ERK MAPK signaling,False
309,3.301840782165528,Y-39983,ROCK,Cytoskeleton,False
83,3.306281328201294,JW-7-52-1,MTOR,PI3K/MTOR signaling,False
159,3.3089041709899902,HG6-64-1,BRAF,ERK MAPK signaling,False
1932,3.309977769851685,NVP-ADW742,IGF1R,IGF1R signaling,True
1038,3.31306266784668,NU7441,DNAPK,Genome integrity,True
184,3.3238635063171387,BMS-754807,"IGF1R, IR",RTK signaling,False
1043,3.324354887008667,JNK Inhibitor VIII,JNK,JNK and p38 signaling,False
167,3.3316915035247803,OSU-03012,PDK1 (PDPK1),Metabolism,False
271,3.3349459171295166,VNLG/124,"HDAC,RAR",Chromatin histone acetylation,False
175,3.3440794944763184,PAC-1,"Procaspase-3, Procaspase-7",Apoptosis regulation,False
312,3.349181652069092,Tivozanib,"VEGFR1, VEGFR2, VEGFR3",RTK signaling,False
29,3.3499648571014404,AZ628,BRAF,ERK MAPK signaling,False
171,3.357805728912353,AKT inhibitor VIII,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,False
228,3.357805728912353,AKT inhibitor VIII,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,False
291,3.3694467544555664,KIN001-266,MAP3K8,ERK MAPK signaling,False
260,3.3704099655151367,NG-25,"TAK1, MAP4K2","Other, kinases",False
1051,3.3801448345184326,Alisertib,AURKA,Mitosis,True
1924,3.381606101989746,Ipatasertib,"AKT1, AKT, AKT3",PI3K/MTOR signaling,True
273,3.383506298065185,CUDC-101,"HDAC1-10, EGFR, ERBB2",Other,False
1052,3.385321855545044,RO-3306,CDK1,Cell cycle,True
