DRUG_ID,COSMIC_ID,TCGA_DESC,Label,Pred
1084,909255,UNCLASSIFIED,-4.75034,-3.698413848876953
2109,906853,UNCLASSIFIED,5.667806,4.367722511291504
2040,907322,UNCLASSIFIED,2.082331,1.4560377597808838
1627,1298352,UNCLASSIFIED,5.41378,5.081010341644287
1549,724831,UNCLASSIFIED,4.717477,4.773406505584717
1511,1240128,UNCLASSIFIED,-1.286472,-1.4312407970428467
1614,1240221,UNCLASSIFIED,2.943233,3.2808055877685547
1931,909977,UNCLASSIFIED,6.198902,6.038619041442871
1237,907060,UNCLASSIFIED,4.146943,4.612740516662598
1873,909720,UNCLASSIFIED,1.421396,1.2000360488891602
1180,687829,UNCLASSIFIED,-2.803489,-2.180917739868164
1563,908138,UNCLASSIFIED,6.537797,5.99117374420166
1073,907050,UNCLASSIFIED,7.666173,8.205841064453125
1268,906861,UNCLASSIFIED,5.440873,4.556024074554443
1093,1331040,UNCLASSIFIED,2.467258,2.793381690979004
1916,910906,UNCLASSIFIED,3.875388,2.1605286598205566
1054,684059,UNCLASSIFIED,1.918923,2.2836532592773438
1936,910706,UNCLASSIFIED,0.682102,0.858977198600769
1613,909262,UNCLASSIFIED,0.97694,1.4390454292297363
1051,925345,UNCLASSIFIED,2.79037,3.3623809814453125
1003,684062,UNCLASSIFIED,-4.372936,-3.1251416206359863
1629,1331040,UNCLASSIFIED,2.977582,2.668919563293457
1917,907273,UNCLASSIFIED,-0.884797,0.9464893341064453
1083,906849,UNCLASSIFIED,4.027243,2.8422789573669434
1084,908131,UNCLASSIFIED,-2.744228,-3.2753286361694336
1909,905973,UNCLASSIFIED,2.166299,2.5490713119506836
1084,1298219,UNCLASSIFIED,0.297708,-0.8067941665649414
1873,906999,UNCLASSIFIED,1.631319,1.166661024093628
1191,906804,UNCLASSIFIED,-5.193107,-5.294444561004639
1248,910706,UNCLASSIFIED,-7.157177,-7.044907569885254
1168,724831,UNCLASSIFIED,3.832673,3.1495842933654785
1626,909701,UNCLASSIFIED,1.1491,1.6259945631027222
2107,1240210,UNCLASSIFIED,4.493572,4.682365894317627
1249,949164,UNCLASSIFIED,2.275649,2.8292312622070312
1930,909776,UNCLASSIFIED,1.013173,0.859955370426178
2046,909699,UNCLASSIFIED,5.823349,4.812822341918945
1177,909976,UNCLASSIFIED,2.896935,4.163259029388428
1032,908136,UNCLASSIFIED,2.060299,1.1140666007995605
1576,1298539,UNCLASSIFIED,3.870348,3.752000331878662
1618,1240210,UNCLASSIFIED,2.879726,3.620940685272217
2048,907298,UNCLASSIFIED,-2.454248,-3.9599595069885254
1250,907796,UNCLASSIFIED,2.06628,2.6913657188415527
1012,924186,UNCLASSIFIED,1.378592,1.796221375465393
1625,909731,UNCLASSIFIED,3.876258,4.045623302459717
1997,1298539,UNCLASSIFIED,4.728318,3.5811362266540527
1004,908131,UNCLASSIFIED,-5.377213,-4.140788555145264
2047,906794,UNCLASSIFIED,3.4919,2.9145030975341797
1017,907796,UNCLASSIFIED,3.497839,4.4753923416137695
1909,909696,UNCLASSIFIED,-2.770738,-1.8866349458694458
1191,910849,UNCLASSIFIED,-3.689308,-5.150816917419434
1512,949155,UNCLASSIFIED,3.62205,4.197621822357178
1010,910906,UNCLASSIFIED,2.929821,2.1426405906677246
1939,1327774,UNCLASSIFIED,1.600091,1.9284887313842773
1931,688121,UNCLASSIFIED,6.333002,6.4301629066467285
2109,925345,UNCLASSIFIED,1.772901,2.1355695724487305
1006,1240221,UNCLASSIFIED,0.3971,-0.8653301000595093
1010,910695,UNCLASSIFIED,0.790106,1.2959175109863281
1634,949166,UNCLASSIFIED,4.954474,4.375202655792236
1919,971773,UNCLASSIFIED,0.876755,1.5129685401916504
1625,949168,UNCLASSIFIED,4.551107,5.364678382873535
1557,687600,UNCLASSIFIED,4.603964,5.271212100982666
1268,906846,UNCLASSIFIED,5.226646,4.008368968963623
1916,908132,UNCLASSIFIED,2.643216,2.8472747802734375
1131,907322,UNCLASSIFIED,2.91029,2.546267509460449
1557,906853,UNCLASSIFIED,6.732534,6.019925117492676
1199,906794,UNCLASSIFIED,3.786873,3.588876247406006
1237,907290,UNCLASSIFIED,6.21355,6.20136833190918
1909,1330935,UNCLASSIFIED,1.865361,-2.9602417945861816
1060,949160,UNCLASSIFIED,0.591483,1.1341673135757446
1940,684052,UNCLASSIFIED,3.178083,3.29569673538208
1933,1303912,UNCLASSIFIED,3.980291,4.489454746246338
1179,924105,UNCLASSIFIED,-0.099911,0.13297060132026672
2096,907047,UNCLASSIFIED,1.870174,2.5352630615234375
1053,909976,UNCLASSIFIED,3.060147,2.9654979705810547
1615,1330933,UNCLASSIFIED,4.105655,3.489539623260498
1625,908467,UNCLASSIFIED,5.346011,4.4868268966674805
1046,946357,UNCLASSIFIED,0.840808,0.35244396328926086
1017,1331049,UNCLASSIFIED,3.173921,2.2724318504333496
1924,930082,UNCLASSIFIED,1.056614,2.249373435974121
2045,1298539,UNCLASSIFIED,5.525463,5.500851154327393
2107,907290,UNCLASSIFIED,5.959501,5.936825752258301
1553,1331039,UNCLASSIFIED,2.756428,2.8608484268188477
1084,909976,UNCLASSIFIED,-3.61784,-2.2395095825195312
1006,908138,UNCLASSIFIED,4.565659,2.8484244346618652
1375,910401,UNCLASSIFIED,4.801592,5.1774582862854
1916,907290,UNCLASSIFIED,1.785039,2.7296152114868164
1913,687829,UNCLASSIFIED,5.359776,4.868967533111572
1085,949155,UNCLASSIFIED,1.939617,1.8897485733032227
1852,908132,UNCLASSIFIED,3.735744,4.334427833557129
1372,949164,UNCLASSIFIED,2.209204,2.4166340827941895
1239,906831,UNCLASSIFIED,2.556917,0.8570248484611511
2111,971773,UNCLASSIFIED,3.09396,2.8271679878234863
1177,909756,UNCLASSIFIED,5.168016,5.045894622802734
1004,1331039,UNCLASSIFIED,-5.165852,-4.843805313110352
1928,907299,UNCLASSIFIED,3.724563,3.296815872192383
1613,908132,UNCLASSIFIED,-0.726722,2.32968807220459
1091,908131,UNCLASSIFIED,1.90377,2.2805089950561523
1248,910849,UNCLASSIFIED,-5.546095,-4.399290084838867
1073,1303896,UNCLASSIFIED,3.615309,2.065659523010254
1626,909754,UNCLASSIFIED,3.743158,3.681130886077881
1915,907268,UNCLASSIFIED,2.68517,1.4781795740127563
1083,905973,UNCLASSIFIED,3.096353,2.9317636489868164
1620,910705,UNCLASSIFIED,4.388148,4.371713161468506
