DRUG_ID,COSMIC_ID,TCGA_DESC,Label,Pred
1909,910705,UNCLASSIFIED,-5.2233,-1.9386264085769653
1510,909248,MB,4.51125,4.063815116882324
1853,1240179,CESC,3.535887,3.0929408073425293
1941,910079,ESCA,-3.023716,-1.2384579181671143
1049,688001,SCLC,2.689196,2.689683437347412
2106,1298223,LUSC,1.420333,3.0576834678649902
1922,907044,UNCLASSIFIED,1.743652,1.9015954732894897
1046,906792,SKCM,1.089994,1.6798152923583984
1911,925347,PAAD,-2.791349,-2.027398109436035
1913,905944,LUAD,5.272052,5.392092227935791
1373,909769,UNCLASSIFIED,4.99029,5.116322994232178
1922,1331032,DLBC,2.553528,1.9919235706329346
1557,753584,BLCA,4.435668,3.8243980407714844
1013,907061,HNSC,2.710192,3.495504856109619
1007,906821,PAAD,-3.978476,-4.351264476776123
1557,753551,SCLC,4.538651,4.389795303344727
1237,910401,UNCLASSIFIED,3.79718,3.686631679534912
1036,1240226,SKCM,1.026498,0.7636877298355103
1007,753552,BLCA,-2.931242,-4.708250999450684
1926,971773,UNCLASSIFIED,-0.656644,-0.15774255990982056
2110,1240124,COREAD,4.200222,4.454634666442871
1079,906827,UNCLASSIFIED,0.621251,0.5481345653533936
2048,684072,UNCLASSIFIED,-5.395842,-5.287309169769287
1630,909755,COREAD,5.573853,5.113225936889648
1010,753548,LAML,1.939165,1.4068759679794312
1557,907792,COREAD,6.491513,6.432354927062988
1025,749712,BRCA,5.697029,5.734697341918945
2040,949157,UNCLASSIFIED,1.031547,0.8256278038024902
1598,906821,PAAD,4.157468,4.106489181518555
1012,1240186,SCLC,2.058347,3.4497828483581543
1248,998189,COREAD,-4.628969,-3.075488567352295
1510,1290795,UNCLASSIFIED,4.94158,4.338953018188477
1854,925347,PAAD,6.129321,6.191679000854492
1083,906830,SKCM,3.826365,4.355191230773926
1004,910554,COREAD,-2.979072,-2.8326315879821777
2106,1330985,LAML,3.258693,3.935851573944092
1529,724863,UNCLASSIFIED,0.176143,0.17748862504959106
1926,906693,PAAD,0.588681,1.106431245803833
1131,906862,BRCA,2.735763,3.7248926162719727
1088,910930,DLBC,-0.142121,-0.4146033525466919
1510,906831,UNCLASSIFIED,3.350167,3.830791473388672
1004,1290798,BRCA,1.128721,-0.21769428253173828
1786,688025,SCLC,3.099759,2.6115732192993164
1373,753538,HNSC,4.470627,4.549225807189941
1083,753555,ESCA,2.499656,3.054469108581543
1512,909702,ALL,4.389701,4.25590705871582
1862,1240122,HNSC,-1.58227,-1.5472379922866821
1088,1503367,ESCA,3.890757,2.313840866088867
1578,909252,ALL,4.404104,3.78556489944458
2106,910704,BRCA,-0.231396,1.8392750024795532
1005,905971,COREAD,3.233054,3.4369287490844727
2110,946382,BRCA,5.06498,4.049698829650879
1054,906790,STAD,1.994129,2.162771701812744
1913,908156,UNCLASSIFIED,3.144967,2.268404006958008
1010,1299080,SKCM,2.996267,3.266125202178955
2040,909904,PAAD,1.31311,1.8551253080368042
2106,1503367,ESCA,3.107517,5.149044990539551
1930,1297447,MM,0.506631,-0.20507824420928955
1248,925348,PAAD,-3.783265,-3.95316743850708
1578,683667,MB,3.938308,4.21653413772583
1190,687821,LUAD,2.025576,2.605898857116699
1512,687983,SCLC,4.992224,4.63438606262207
1996,906804,UNCLASSIFIED,2.956344,3.3758158683776855
1941,924107,CESC,-3.128659,-3.237624168395996
1561,906746,GBM,1.576285,2.4647936820983887
1910,1240168,GBM,1.326539,2.1472063064575195
1912,687812,LUAD,4.415969,3.3540310859680176
2106,906696,THCA,3.505107,3.4850387573242188
2047,753565,SCLC,2.81042,2.8993124961853027
1855,753532,HNSC,6.204215,5.62335729598999
1910,925343,UNCLASSIFIED,2.900941,3.0278501510620117
1617,907788,PRAD,2.030139,0.7020620107650757
1049,687819,LUAD,5.128548,4.8049540519714355
1559,910947,LAML,-4.680953,-4.642050266265869
1626,1240168,GBM,3.326845,2.8650107383728027
1928,1327769,DLBC,2.025405,2.676258087158203
1012,909709,HNSC,2.945155,2.5464677810668945
1249,1240174,UCEC,3.715724,4.265974044799805
1625,1480362,OV,5.528444,5.669320583343506
1507,949177,NB,4.149879,4.252213954925537
2047,930298,CESC,2.667274,2.600064754486084
2048,906872,NB,-1.05032,-1.665702223777771
1131,908122,BRCA,2.08785,4.345440864562988
1375,906843,CESC,6.102626,5.725375652313232
1630,905970,LUAD,4.158944,4.193152904510498
1091,946357,UNCLASSIFIED,0.411971,1.1324963569641113
1259,1298526,PAAD,4.007579,4.380793571472168
1085,925346,PAAD,5.476156,3.207603931427002
1862,907286,PAAD,-2.040349,-1.9899431467056274
1085,908447,NB,1.773809,2.3008575439453125
1011,1327766,MM,0.020412,0.9399231672286987
1559,753612,MM,-2.19486,-0.9935818910598755
1926,909713,SKCM,0.338261,3.3795666694641113
1050,946359,BRCA,4.181466,4.449925422668457
1561,910852,BRCA,0.900091,0.9525290131568909
1930,924250,STAD,2.521693,2.1103320121765137
1168,1327773,DLBC,2.556823,2.0432209968566895
1564,998189,COREAD,1.064187,1.376664161682129
1511,687457,BLCA,-1.016978,0.20943206548690796
1085,924102,THCA,3.507672,3.6430392265319824
1624,906693,PAAD,3.182596,3.781494140625
1088,906818,SKCM,2.831332,2.4184505939483643
1919,905951,BRCA,2.222149,3.167691230773926
1564,1290730,BLCA,2.026507,2.424619197845459
2043,909750,LGG,5.143439,4.385511875152588
1918,1330947,LAML,1.697649,2.588970184326172
1131,753546,SKCM,5.781579,5.81840181350708
1083,910900,LUAD,3.573346,3.7717032432556152
1079,1290813,MESO,-0.536223,-1.6536871194839478
1941,687780,UNCLASSIFIED,-5.632621,-4.755809307098389
1057,1298219,UNCLASSIFIED,0.927527,-0.19789928197860718
1614,924244,LUAD,3.536534,3.182168960571289
2110,1240129,OV,5.227464,5.455599308013916
1630,910930,DLBC,3.881714,2.6796517372131348
1017,910942,UNCLASSIFIED,3.47303,3.645972728729248
1852,1298531,HNSC,3.230592,4.629380702972412
1022,907000,UNCLASSIFIED,-1.877905,-0.9920089244842529
1046,924250,STAD,3.240168,3.78314208984375
1786,907043,UNCLASSIFIED,2.055231,1.8929225206375122
2111,909905,GBM,5.049294,4.991692066192627
1564,910691,UCEC,4.339778,4.627285957336426
1854,908123,BRCA,2.952409,4.336145401000977
1507,909770,STAD,4.241416,3.292478561401367
1085,905957,BRCA,2.141935,2.777822494506836
1936,908142,UNCLASSIFIED,1.253304,1.8503053188323975
1080,924107,CESC,-5.455731,-5.551259994506836
1862,749713,BRCA,-0.889507,-1.5081084966659546
1046,910910,BRCA,1.79898,2.9368271827697754
2045,908128,SKCM,6.167198,5.230210304260254
1913,753569,LUSC,4.87985,4.882871627807617
1549,688023,SCLC,4.918564,4.317809581756592
1621,687995,SCLC,5.245172,4.835476398468018
1635,910951,LCML,3.594372,3.7579345703125
1080,910850,LIHC,0.627561,0.19182753562927246
1180,907062,HNSC,-3.304347,-2.8976263999938965
1507,907279,LGG,4.603339,4.97070837020874
1093,1240217,LIHC,2.356021,2.764693260192871
1034,724831,UNCLASSIFIED,-3.413528,-2.635526180267334
1372,909784,SKCM,-1.641155,-0.7702188491821289
1910,908446,STAD,1.33753,1.5278550386428833
1512,749717,BRCA,5.942063,5.665620803833008
1083,684052,UNCLASSIFIED,2.460314,2.4856319427490234
1054,1503365,ESCA,5.759774,4.386823654174805
1036,753610,SCLC,4.082857,2.959690570831299
1168,930083,THCA,5.460609,5.853142738342285
1013,906847,UNCLASSIFIED,1.595699,2.8498244285583496
1168,687590,GBM,2.359189,3.6098685264587402
1259,687448,SKCM,2.87204,3.655649185180664
1852,1659823,COREAD,4.959787,5.539365768432617
1629,753548,LAML,2.849197,3.29298734664917
1179,909769,UNCLASSIFIED,2.398139,1.2393380403518677
1910,1240149,UNCLASSIFIED,2.30377,1.4692916870117188
1011,907792,COREAD,0.415413,1.828269124031067
1200,909773,DLBC,1.900849,2.31215500831604
1627,905959,OV,4.400828,4.18016242980957
1924,907291,COREAD,1.853787,2.5337562561035156
1017,910688,LAML,1.576889,2.5801453590393066
1930,724828,NB,-0.479074,0.37395742535591125
1613,907794,COREAD,3.141166,1.8082717657089233
1561,909735,UCEC,1.647121,1.8218742609024048
1578,910687,ALL,4.13243,3.2936201095581055
1936,1330947,LAML,0.612614,0.8998651504516602
1862,1298349,SCLC,-0.422723,0.8331809043884277
1131,907064,UNCLASSIFIED,6.822997,4.340213298797607
1510,908156,UNCLASSIFIED,2.554842,2.509666919708252
1918,908123,BRCA,2.054665,2.6759157180786133
1168,683665,MM,2.761263,1.992295503616333
1578,910549,ESCA,5.262259,5.000396728515625
1613,753574,ESCA,3.810714,5.002996444702148
1925,907280,LAML,4.275705,3.501896381378174
1621,908443,LUSC,5.780121,4.76078987121582
1180,930297,CESC,-2.556153,-0.7390071153640747
1080,909747,COREAD,1.537191,1.1170744895935059
2044,910900,LUAD,2.352416,2.678107738494873
1093,946353,ESCA,3.595929,4.247378349304199
1910,1298475,PAAD,3.782393,3.390413284301758
1630,909249,MM,2.849543,3.2920584678649902
1017,909784,SKCM,5.078408,5.160787582397461
1091,724872,SCLC,2.435118,1.609907627105713
1512,906820,NB,5.447731,4.949694633483887
2047,908483,SCLC,2.146937,1.400068998336792
1930,1240123,COREAD,0.713536,0.18006539344787598
1042,1290905,BRCA,5.014417,3.1603646278381348
1924,907295,SCLC,5.775793,5.3349199295043945
1631,909255,UNCLASSIFIED,0.730773,1.650006890296936
2044,907317,ESCA,3.538945,2.1948463916778564
1620,908147,ALL,3.78793,3.4626054763793945
2048,906835,GBM,-1.533485,-0.28814804553985596
1004,1503366,ESCA,-3.225653,-3.4892616271972656
1268,910924,STAD,4.182666,4.804254055023193
1613,1290798,BRCA,3.515286,5.701968193054199
1799,909729,GBM,5.808195,5.416836261749268
1553,909743,ALL,1.84008,1.1833754777908325
1912,906826,BRCA,2.758705,3.339698314666748
1620,909976,UNCLASSIFIED,4.295688,4.7159504890441895
1564,905965,UNCLASSIFIED,1.500343,1.5847469568252563
1507,688031,SCLC,2.548873,3.29048490524292
1918,753573,ESCA,3.564723,2.9843297004699707
1925,907278,LAML,4.777008,4.8734259605407715
1068,688001,SCLC,0.185051,0.611227810382843
1630,906836,UNCLASSIFIED,2.219345,1.7713420391082764
1622,909264,UNCLASSIFIED,4.83518,4.3028106689453125
2106,1240170,GBM,2.197932,3.0815539360046387
1930,908156,UNCLASSIFIED,-1.932658,-0.973190188407898
1996,909774,UNCLASSIFIED,4.516405,4.175634860992432
1259,998184,ALL,-0.395039,1.702124834060669
1624,1240167,ESCA,2.4189,2.348973035812378
1557,910784,UNCLASSIFIED,6.258462,5.054803848266602
1511,753561,HNSC,-0.426907,-1.2289179563522339
2107,910689,COREAD,6.606527,7.969338893890381
1918,909904,PAAD,4.222257,3.6938133239746094
1927,1660035,COREAD,6.305416,5.96032190322876
1085,909719,LIHC,2.201518,2.5903730392456055
1931,906836,UNCLASSIFIED,1.033842,2.682372570037842
1620,687586,GBM,5.021207,4.852949142456055
1630,687459,BLCA,4.265066,4.352667331695557
1617,1240216,LIHC,1.971337,4.958913803100586
2047,1327774,UNCLASSIFIED,1.648356,2.490151882171631
1549,1298169,KIRC,4.046442,4.470338344573975
1613,1298350,LUAD,4.521912,4.490843772888184
1613,908451,LAML,2.007234,2.151182174682617
1594,908123,BRCA,1.089201,0.4539923667907715
1576,1240136,MESO,3.78073,3.4095168113708496
1168,917486,COREAD,2.883763,2.5032925605773926
1873,753615,MM,2.222495,0.9719011783599854
2048,687588,GBM,-2.129866,-3.0164170265197754
2109,1240218,PAAD,4.302594,5.015839099884033
1933,753608,LUAD,6.785043,4.723465919494629
1614,924102,THCA,4.037202,4.6519670486450195
1073,753573,ESCA,3.345576,3.8963375091552734
1177,909256,BRCA,4.757454,3.6726465225219727
