DRUG_ID,DRUG_NAME,PubCHEM
1003,Camptothecin,24360
1004,Vinblastine,6710780
1005,Cisplatin,84691
1006,Cytarabine,6253
1007,Docetaxel,148124
1010,Gefitinib,123631
1011,Navitoclax,24978538
1012,Vorinostat,5311
1013,Nilotinib,644241
1017,Olaparib,23725625
1021,Axitinib,6450551
1022,AZD7762,11152667
1025,SB216763,176158
1030,KU-55933,5278396
1032,Afatinib,10184653
1034,Staurosporine,44259
1036,PLX-4720,24180719
1038,NU7441,11327430
1042,Doramapimod,156422
1046,Wee1 Inhibitor,10384072
1047,Nutlin-3a (-),11433190
1049,PD173074,1401
1050,ZM447439,9914412
1051,Alisertib,24771867
1052,RO-3306,44450571
1053,MK-2206,46930998
1054,Palbociclib,5330286
1057,Dactolisib,11977753
1058,Pictilisib,17755052
1059,AZD8055,25262965
1060,PD0325901,9826528
1068,Obatoclax Mesylate,11404337
1073,5-Fluorouracil,3385
1079,Dasatinib,3062316
1080,Paclitaxel,36314
1083,Crizotinib,11626560
1084,Rapamycin,5384616
1085,Sorafenib,216239
1086,BI-2536,11364421
1088,Irinotecan,60838
1089,Oxaliplatin,5310940
1091,BMS-536924,10390396
1093,GSK1904529A,25124816
1096,Tozasertib,5494449
1129,PF-4708671,51371303
1131,PRIMA-1MET,52918385
1168,Erlotinib,176870
1177,Niraparib,24958200
1179,MK-1775,24856436
1180,Dinaciclib,46926350
1190,Gemcitabine,60750
1191,Bortezomib,387447
1192,GSK269962A,16095342
1194,SB505124,9858940
1199,Tamoxifen,2733526
1200,Fulvestrant,104741
1237,EPZ004777,56962336
1239,YK-4-279,44632017
1248,Daporinad,6914657
1249,BMS-345541,9926054
1250,AZ960,25099184
1259,Talazoparib,44819241
1268,XAV939,2726824
1372,Trametinib,11707110
1373,Dabrafenib,44462760
1375,Temozolomide,5394
1507,Ruxolitinib,25126798
1510,Linsitinib,11640390
1511,Epirubicin,41867
1512,Cyclophosphamide,2907
1529,Pevonedistat,16720766
1549,Sapitinib,11488320
1553,Uprosertib,51042438
1557,LCL161,24737642
1558,Lapatinib,208908
1559,Luminespib,10096043
1560,Alpelisib,56649450
1561,Taselisib,51001932
1563,EPZ5676,57345410
1564,SCH772984,24866313
1576,IWP-2,2155128
1578,Leflunomide,3899
1593,Entinostat,4261
1594,OSI-027,44224160
1598,LGK974,46926973
1613,VE-822,59472121
1614,WZ4003,72200024
1615,CZC24832,42623951
1617,AZD5582,49847690
1618,GSK2606414,53469448
1620,PFI3,78243717
1621,PCI-34051,24753719
1622,Wnt-C59,57519544
1624,I-BET-762,46943432
1625,RVX-208,24871506
1626,OTX015,9936746
1627,GSK343,71268957
1629,ML323,60167849
1630,Entospletinib,59473233
1631,PRT062607,44462758
1632,Ribociclib,44631912
1634,AGI-6780,71299339
1635,Picolinici-acid,1018
1786,AZD4547,51039095
1799,Ibrutinib,24821094
1849,Sabutoclax,46236925
1852,LY2109761,11655119
1853,OF-1,35397514
1854,MN-64,2802462
1855,KRAS (G12C) Inhibitor-12,73555129
1862,MG-132,462382
1873,Buparlisib,66577015
1908,Ulixertinib,11719003
1909,Venetoclax,49846579
1910,ABT737,11228183
1911,Dactinomycin,457193
1912,Afuresertib,46843057
1913,AGI-5198,56645356
1915,AZD3759,78209992
1916,AZD5363,25227436
1917,AZD6738,54761306
1918,AZD8186,52913813
1919,Osimertinib,71496458
1922,Cediranib,9933475
1924,Ipatasertib,24788740
1925,GDC0810,56941241
1926,GNE-317,70676303
1927,GSK2578215A,68107965
1928,I-BRD9,91668541
1930,Telomerase Inhibitor IX,10385095
1931,MIRA-1,227681
1932,NVP-ADW742,9825149
1933,P22077,46931953
1936,Savolitinib,68289010
1939,UMI-77,992586
1940,WIKI4,2984337
1941,Sepantronium bromide,11178236
1996,MIM1,16241412
1997,WEHI-539,71297207
2040,Foretinib,42642645
2043,BIBR-1532,9927531
2044,Pyridostatin,25227847
2045,AMG-319,68947304
2046,MK-8776,16224745
2047,Ulixertinib,11719003
2048,Vinorelbine,5311497
2096,VX-11e,11634725
2106,Uprosertib,51042438
2107,LJI308,118704762
2109,AZ6102,91663328
2110,GSK591,117072552
2111,VE821,51000408
2169,AZD6482,44137675
2172,JQ1,46907787
